# from H. Marshall email 27 April 2007
#
#Optical depths as of 2002.69
#     Energy      Carbon       Oxygen       Fluorine     Fluffium
#                   0.02         0.20        0.10         0.20
      4.21423      0.00000      0.00000      0.00000  9.72521e-06
      4.22402      0.00000      0.00000      0.00000  9.72521e-06
      4.23381      0.00000      0.00000      0.00000  9.72521e-06
      4.24360      0.00000      0.00000      0.00000  9.72521e-06
      4.25339      0.00000      0.00000      0.00000  9.72521e-06
      4.26318      0.00000      0.00000      0.00000  9.72521e-06
      4.27297      0.00000      0.00000      0.00000  9.72521e-06
      4.28276      0.00000      0.00000      0.00000  9.72521e-06
      4.29255      0.00000      0.00000      0.00000  9.72521e-06
      4.30234      0.00000      0.00000      0.00000  9.72521e-06
      4.31213      0.00000      0.00000      0.00000  9.72521e-06
      4.32192      0.00000      0.00000      0.00000  9.72521e-06
      4.33171      0.00000      0.00000      0.00000  9.72521e-06
      4.34150      0.00000      0.00000      0.00000  9.72521e-06
      4.35129      0.00000      0.00000      0.00000  9.72521e-06
      4.36108      0.00000      0.00000      0.00000  9.72521e-06
      4.37087      0.00000      0.00000      0.00000  9.72521e-06
      4.38066      0.00000      0.00000      0.00000  9.72521e-06
      4.39045      0.00000      0.00000      0.00000  9.72521e-06
      4.40024      0.00000      0.00000      0.00000  9.72521e-06
      4.41003      0.00000      0.00000      0.00000  9.72521e-06
      4.41982      0.00000      0.00000      0.00000  9.72521e-06
      4.42961      0.00000      0.00000      0.00000  9.72521e-06
      4.43940      0.00000      0.00000      0.00000  9.72521e-06
      4.44919      0.00000      0.00000      0.00000  9.72521e-06
      4.45898      0.00000      0.00000      0.00000  9.72521e-06
      4.46877      0.00000      0.00000      0.00000  9.72521e-06
      4.47856      0.00000      0.00000      0.00000  9.72521e-06
      4.48835      0.00000      0.00000      0.00000  9.72521e-06
      4.49814      0.00000      0.00000      0.00000  9.72521e-06
      4.50793      0.00000      0.00000      0.00000  9.72521e-06
      4.51772      0.00000      0.00000      0.00000  9.72521e-06
      4.52751      0.00000      0.00000      0.00000  9.72521e-06
      4.53730      0.00000      0.00000      0.00000  9.72521e-06
      4.54709      0.00000      0.00000      0.00000  9.72521e-06
      4.55688      0.00000      0.00000      0.00000  9.72521e-06
      4.56667      0.00000      0.00000      0.00000  9.72521e-06
      4.57646      0.00000      0.00000      0.00000  9.72521e-06
      4.58625      0.00000      0.00000      0.00000  9.72521e-06
      4.59604      0.00000      0.00000      0.00000  9.72521e-06
      4.60583      0.00000      0.00000      0.00000  9.72521e-06
      4.61561      0.00000      0.00000      0.00000  9.72521e-06
      4.62540      0.00000      0.00000      0.00000  9.72521e-06
      4.63519      0.00000      0.00000      0.00000  9.72521e-06
      4.64498      0.00000      0.00000      0.00000  9.72521e-06
      4.65477      0.00000      0.00000      0.00000  9.72521e-06
      4.66456      0.00000      0.00000      0.00000  9.72521e-06
      4.67435      0.00000      0.00000      0.00000  9.72521e-06
      4.68414      0.00000      0.00000      0.00000  9.72521e-06
      4.69393      0.00000      0.00000      0.00000  9.72521e-06
      4.70372      0.00000      0.00000      0.00000  9.72521e-06
      4.71351      0.00000      0.00000      0.00000  9.72521e-06
      4.72330      0.00000      0.00000      0.00000  9.72521e-06
      4.73309      0.00000      0.00000      0.00000  9.72521e-06
      4.74288      0.00000      0.00000      0.00000  9.72521e-06
      4.75267      0.00000      0.00000      0.00000  9.72521e-06
      4.76246      0.00000      0.00000      0.00000  9.72521e-06
      4.77225      0.00000      0.00000      0.00000  9.72521e-06
      4.78204      0.00000      0.00000      0.00000  9.72521e-06
      4.79183      0.00000      0.00000      0.00000  9.72521e-06
      4.80162      0.00000      0.00000      0.00000  9.72521e-06
      4.81141      0.00000      0.00000      0.00000  9.72521e-06
      4.82120      0.00000      0.00000      0.00000  9.72521e-06
